,CODE_INDEX,N_POSITIVE_CODES,AUC(GRU),AUC(ICENODE),AUC(ICENODE_UNIFORM),AUC(RETAIN),VAR[AUC(GRU)],VAR[AUC(ICENODE)],VAR[AUC(ICENODE_UNIFORM)],VAR[AUC(RETAIN)],P0(AUC_GRU==AUC_ICENODE),P0(AUC_GRU==AUC_ICENODE_UNIFORM),P0(AUC_GRU==AUC_RETAIN),P0(AUC_ICENODE==AUC_ICENODE_UNIFORM),P0(AUC_ICENODE==AUC_RETAIN),P0(AUC_ICENODE_UNIFORM==AUC_RETAIN)
214,214,297.0,0.7238678007295671,0.6985964358720176,0.6870156809667853,0.7021880597384449,0.00020273945673932985,0.00022586348604100307,0.00022343069414633527,0.0002269255181621113,0.006353719575082426,0.0001315619213591115,0.011379261252615378,0.0049048371835281115,0.7018679542288397,0.0913300259795686
215,215,1957.0,0.31250035299708956,0.32421933889418303,0.321302432451231,0.30567854674422396,3.778762651894182e-05,3.649589618675689e-05,3.520061944912949e-05,3.462049926444022e-05,0.00574408864206795,0.044653490501890075,0.09626538383057281,0.06131060113652066,1.0996482306041833e-05,0.0001800090177673377
216,216,482.0,0.5527721221927385,0.6387690651672758,0.6053227476980908,0.587977890124089,0.00017288653580585292,0.0001963403704824627,0.00019795429606177646,0.00018968237497669853,7.534695541774687e-19,5.738642555422309e-09,3.285585062246368e-05,6.674547086086204e-13,5.375566118261432e-07,0.0713403307328047
217,217,2115.0,0.9015452543892549,0.8979992614511495,0.8908612453685494,0.9112428833563202,2.0187722456414827e-05,2.17127855712712e-05,2.2934428414842868e-05,1.9488832416311896e-05,0.36167715804732536,0.00335677485348384,0.0012266166039227083,6.032764756328249e-09,0.0006204000187102796,3.1968600032913124e-08
218,218,2710.0,0.6945301546576166,0.7353783075383363,0.7206262602723471,0.7596589427683709,2.7105163556974478e-05,3.3434075433177105e-05,3.331380448765338e-05,3.0489519504813956e-05,1.1019919838702324e-16,2.755954701162327e-08,3.868423788571695e-64,2.3095585577226353e-16,1.4683804794210328e-06,2.2743193819077425e-15
219,219,1259.0,0.9472185325515048,0.9415921153251718,0.9331330334471553,0.9554455646653606,1.881349953106643e-05,2.2522590230538447e-05,2.3294479981773424e-05,1.8463413801133884e-05,0.05309234739714359,4.68455137056755e-06,3.591449970577003e-05,2.8122318987371614e-11,2.3609126393313406e-06,4.24042683814781e-12
220,220,5025.0,0.7163544878656495,0.7069445746535375,0.6997038838365569,0.7637473483853128,1.587102326229296e-05,2.0124455733091034e-05,1.9814045200668133e-05,1.6266189612372234e-05,0.012377959877818749,5.479361576548791e-06,8.019541332173767e-56,1.8405198517614206e-08,4.654835037550487e-49,1.1215238342850843e-61
221,221,2489.0,0.7579211873597161,0.7761881994063365,0.7561028642907183,0.7641221991569312,3.777037051579479e-05,3.3593036150656025e-05,3.5933335987009065e-05,3.789987114965527e-05,0.0001448311005794369,0.6878968345711667,0.06383432918943518,1.9929324492176192e-27,0.004988107195137359,0.061061193373810815
222,222,8980.0,0.87641617448691,0.8664730559292473,0.8677341156803143,0.8867247874186677,5.544423291961994e-06,6.420636493646441e-06,6.216349244983053e-06,5.449699286521419e-06,2.672075085936972e-08,5.17462336151181e-07,1.5226266245058743e-10,0.031095699938869518,5.114107653815658e-27,2.8494854721118716e-25
223,223,9290.0,0.7427300597531248,0.7362813129396767,0.7363069145014072,0.7474108221675604,7.731063452234458e-06,8.041903996498716e-06,7.967522332148296e-06,7.856669639409946e-06,0.0015838031820510122,0.0010118238460070548,0.004333031978879662,0.9690808430722161,2.0151977524835284e-07,9.034413387046522e-08
224,224,1363.0,0.5400537418679331,0.5079857953436406,0.4862804890787532,0.522396636484438,6.555121218161646e-05,6.426878028279576e-05,6.332935368682106e-05,7.03744689779328e-05,0.00012684022671892773,2.238226220427222e-11,0.020534302382693957,1.9299413141603987e-14,0.07417061873284651,3.1189844216609875e-06
225,225,1276.0,0.5906849914407762,0.6253553002203032,0.5916774171434533,0.6300890859343085,6.891403590979449e-05,6.989802426611386e-05,6.76233925555223e-05,7.103487212988315e-05,9.319462047294261e-06,0.9013088833882994,4.8718992025701254e-08,3.279053393829984e-33,0.525020841921507,2.3464241095447823e-07
226,226,5750.0,0.8542136127809191,0.8477667469745128,0.849212513215697,0.8734332094659729,1.0242070804642519e-05,1.0798305837253657e-05,1.0611609991736308e-05,9.281615063929272e-06,0.009017608608486756,0.036039678094973944,5.595005963780393e-28,0.09264393329174629,3.870485304614577e-26,3.871357513766076e-24
227,227,4869.0,0.74015863923873,0.78503157214884,0.78327984673213,0.8192938741866209,1.5884772289540128e-05,1.5980128490997562e-05,1.5770863621520847e-05,1.4164624402810845e-05,1.7937693319321165e-37,2.510875060040704e-35,9.212391845631375e-149,0.09787711733069594,3.0998483772045192e-24,4.5590755883284905e-28
228,228,3976.0,0.7131003961359872,0.6999341375846573,0.699960842416024,0.74665299033739,2.1343511473251683e-05,2.4089698616666107e-05,2.401355705079029e-05,2.3013070645313277e-05,0.0011761820632364968,0.0005971286099353836,1.1274064393906192e-21,0.9848056566808506,4.349683553197627e-30,1.5714159544250877e-32
229,229,189.0,0.6368383309425991,0.6547364250732397,0.6192823358677357,0.6864325475655623,0.00046312609315351855,0.00046530997206351677,0.00048218437767869445,0.0003881199263379453,0.34656847002284585,0.31245886904997844,0.0014248331652982884,8.346474614125776e-06,0.041977448796287495,5.2682239307751105e-06
230,230,796.0,0.5312248900571225,0.5494864036352598,0.5409289127916674,0.5348477159714705,0.00011910705366756053,0.00012022620212509164,0.00011924578156925177,0.00012051256132675198,0.0592770727524182,0.29230730742317557,0.6769055194580054,0.005344321862218468,0.10962004832266092,0.48746735518006357
231,231,1873.0,0.5956606152255662,0.5840338789160611,0.5791799161326422,0.624439205722963,4.786634797998036e-05,4.944107563689712e-05,4.909361251095122e-05,5.0842285563428446e-05,0.11782374885938528,0.018131908522811286,7.327257332254242e-06,0.07259789877296646,5.266767491156569e-08,6.059275792680143e-11
232,232,170.0,0.5405431400523866,0.5065235395710509,0.5112478285314405,0.5088358025867687,0.0005215813112401635,0.0005056468093677726,0.000506718636300229,0.0004980870931086934,0.025240580852888793,0.033310959424686794,0.01528067667402648,0.2876257155601093,0.8668384444287855,0.8525274933686444
