,CODE_INDEX,N_POSITIVE_CODES,AUC(GRU),AUC(ICENODE),AUC(ICENODE_UNIFORM),AUC(RETAIN),VAR[AUC(GRU)],VAR[AUC(ICENODE)],VAR[AUC(ICENODE_UNIFORM)],VAR[AUC(RETAIN)],P0(AUC_GRU==AUC_ICENODE),P0(AUC_GRU==AUC_ICENODE_UNIFORM),P0(AUC_GRU==AUC_RETAIN),P0(AUC_ICENODE==AUC_ICENODE_UNIFORM),P0(AUC_ICENODE==AUC_RETAIN),P0(AUC_ICENODE_UNIFORM==AUC_RETAIN)
68,68,638.0,0.7462324907225212,0.7386751157433182,0.7318902761854938,0.7534388669262849,0.00011951002428811552,0.0001224955801920481,0.00012926436139855364,0.00011611238104262556,0.3150563012833758,0.05627424806462642,0.1833648195227634,0.003160117693730103,0.04585170227289243,0.004489526985333404
69,69,337.0,0.8233725037534014,0.8294111252607954,0.8204017612937109,0.8136874947884584,0.00018218834965655914,0.00016923066577128725,0.00018827509241893907,0.0002100857308227362,0.5378844029023688,0.7640603298436095,0.12565711680058103,0.012147779329834442,0.11229494212256302,0.4943498094496992
70,70,2323.0,0.6937313702870134,0.7129013840232907,0.701729671264363,0.7062727223440541,3.8788771693166943e-05,3.51093805592307e-05,3.762591413766555e-05,3.7114301815507175e-05,2.8675241012159753e-05,0.07797313461666536,0.0003649982437848252,1.0019015501501614e-10,0.10678202934699119,0.2908602511502173
71,71,1713.0,0.9200258386361702,0.8940735670173003,0.8893336152225229,0.9174229999686085,1.2645780281502225e-05,1.8592665110828047e-05,2.0301775795617235e-05,1.365272779190354e-05,1.9879519313327264e-15,1.6299029485710944e-19,0.08813091382463265,0.0017357099720834602,2.844476188661444e-12,4.2170663474214604e-16
72,72,45.0,0.8004504285945335,0.8112720362283681,0.8019618308264598,0.7973621219472748,0.00137902570601748,0.0013496095347741923,0.0014743742944527567,0.001299715540781573,0.6392598488389846,0.9542495373011545,0.8424105383652205,0.19661922625033634,0.5615069211827883,0.8631879031841575
73,73,153.0,0.702274233771642,0.7418403329961727,0.7317369784876296,0.7210739183880479,0.0005317866571904427,0.00046555173030877377,0.00048429196564047375,0.0005106002571310607,0.03547929438326495,0.08633550638217204,0.16388814947249342,0.10931741133181695,0.21393036657672726,0.4949927813927595
74,74,97.0,0.7640121314812616,0.755463225930609,0.7595282268552417,0.7544472575996537,0.0008133150651269857,0.0009242397094356592,0.0008923066850015053,0.0008305681211727262,0.5313030875888408,0.7303827704755029,0.40503206459530783,0.30851147404044976,0.9457589457801113,0.7152589763213373
75,75,156.0,0.8498288115601499,0.8484479914108326,0.8484409649322507,0.8481551043619442,0.0002530317800505541,0.0002519317279359695,0.0002368676559272625,0.00022645888033197685,0.8574158605148191,0.8646439856786101,0.7735861942394943,0.998579257507865,0.9692667230153375,0.9713797592033001
76,76,75.0,0.9109649058894961,0.9052565877352763,0.8935834851244687,0.9176653309046752,0.00025795767217733697,0.0002598175451290218,0.0003325769097201805,0.00026154540662542806,0.4154970234741985,0.012566883955588139,0.2000069243455569,0.06279520162983811,0.1195257872233073,0.01047915675809076
77,77,279.0,0.967212180960041,0.9675002769141476,0.9635526388142339,0.9691028271026992,5.5080404911969054e-05,5.845871353312053e-05,6.670173796662758e-05,5.265712449894003e-05,0.9600940868806361,0.5073877799210282,0.4961169552866874,0.018501740160135165,0.7814918569315945,0.327862724850129
