"icd10cm","icd9cm","flags","approximate","no_map","combination","scenario","choice_list"
"009900Z","0141","10000",1,0,0,0,0
"00990ZX","0114","10000",1,0,0,0,0
"00990ZZ","0141","10000",1,0,0,0,0
"009930Z","0141","10000",1,0,0,0,0
"00993ZX","0113","10000",1,0,0,0,0
"00993ZZ","0141","10000",1,0,0,0,0
"009940Z","0141","10000",1,0,0,0,0
"00994ZX","0113","10000",1,0,0,0,0
"00994ZZ","0141","10000",1,0,0,0,0
"009A00Z","0141","10000",1,0,0,0,0
"009A0ZX","0114","10000",1,0,0,0,0
"009A0ZZ","0141","10000",1,0,0,0,0
"009A30Z","0141","10000",1,0,0,0,0
"009A3ZX","0113","10000",1,0,0,0,0
"009A3ZZ","0141","10000",1,0,0,0,0
"009A40Z","0141","10000",1,0,0,0,0
"009A4ZX","0113","10000",1,0,0,0,0
"009A4ZZ","0141","10000",1,0,0,0,0
"009B00Z","0139","10000",1,0,0,0,0
"009B0ZX","0114","10000",1,0,0,0,0
"009B0ZZ","0139","10000",1,0,0,0,0
"009B30Z","0139","10000",1,0,0,0,0
"009B3ZX","0113","10000",1,0,0,0,0
"009B3ZZ","0139","10000",1,0,0,0,0
"009B40Z","0139","10000",1,0,0,0,0
"009B4ZX","0113","10000",1,0,0,0,0
"009B4ZZ","0139","10000",1,0,0,0,0
"009C00Z","0139","10000",1,0,0,0,0
"009C0ZX","0114","10000",1,0,0,0,0
"009C0ZZ","0139","10000",1,0,0,0,0
"009C30Z","0139","10000",1,0,0,0,0
"009C3ZX","0113","10000",1,0,0,0,0
"009C3ZZ","0139","10000",1,0,0,0,0
"009C40Z","0139","10000",1,0,0,0,0
"009C4ZX","0113","10000",1,0,0,0,0
"009C4ZZ","0139","10000",1,0,0,0,0
"009D00Z","0139","10000",1,0,0,0,0
"009D0ZX","0114","10000",1,0,0,0,0
"009D0ZZ","0139","10000",1,0,0,0,0
"009D30Z","0139","10000",1,0,0,0,0
"009D3ZX","0113","10000",1,0,0,0,0
"009D3ZZ","0139","10000",1,0,0,0,0
"009D40Z","0139","10000",1,0,0,0,0
"009D4ZX","0113","10000",1,0,0,0,0
"009D4ZZ","0139","10000",1,0,0,0,0
"009F00Z","0404","10000",1,0,0,0,0
"009F0ZX","0412","10000",1,0,0,0,0
"009F0ZZ","0404","10000",1,0,0,0,0
"009F30Z","0404","10000",1,0,0,0,0
"009F3ZX","0411","10000",1,0,0,0,0
"009F3ZZ","0404","10000",1,0,0,0,0
"009F40Z","0404","10000",1,0,0,0,0
"009F4ZX","0411","10000",1,0,0,0,0
"009F4ZZ","0404","10000",1,0,0,0,0
"009G00Z","0404","10000",1,0,0,0,0
"009G0ZX","0412","10000",1,0,0,0,0
"009G0ZZ","0404","10000",1,0,0,0,0
"009G30Z","0404","10000",1,0,0,0,0
"009G3ZX","0411","10000",1,0,0,0,0
"009G3ZZ","0404","10000",1,0,0,0,0
"009G40Z","0404","10000",1,0,0,0,0
"009G4ZX","0411","10000",1,0,0,0,0
"009G4ZZ","0404","10000",1,0,0,0,0
"009H00Z","0404","10000",1,0,0,0,0
"009H0ZX","0412","10000",1,0,0,0,0
"009H0ZZ","0404","10000",1,0,0,0,0
"009H30Z","0404","10000",1,0,0,0,0
"009H3ZX","0411","10000",1,0,0,0,0
"009H3ZZ","0404","10000",1,0,0,0,0
"009H40Z","0404","10000",1,0,0,0,0
"009H4ZX","0411","10000",1,0,0,0,0
"009H4ZZ","0404","10000",1,0,0,0,0
"009J00Z","0404","10000",1,0,0,0,0
"009J0ZX","0412","10000",1,0,0,0,0
"009J0ZZ","0404","10000",1,0,0,0,0
"009J30Z","0404","10000",1,0,0,0,0
"009J3ZX","0411","10000",1,0,0,0,0
"009J3ZZ","0404","10000",1,0,0,0,0
"009J40Z","0404","10000",1,0,0,0,0
"009J4ZX","0411","10000",1,0,0,0,0
"009J4ZZ","0404","10000",1,0,0,0,0
"009K00Z","0404","10000",1,0,0,0,0
"009K0ZX","0412","10000",1,0,0,0,0
"009K0ZZ","0404","10000",1,0,0,0,0
"009K30Z","0404","10000",1,0,0,0,0
"009K3ZX","0411","10000",1,0,0,0,0
"009K3ZZ","0404","10000",1,0,0,0,0
"009K40Z","0404","10000",1,0,0,0,0
"009K4ZX","0411","10000",1,0,0,0,0
"009K4ZZ","0404","10000",1,0,0,0,0
"009L00Z","0404","10000",1,0,0,0,0
"009L0ZX","0412","10000",1,0,0,0,0
"009L0ZZ","0404","10000",1,0,0,0,0
"009L30Z","0404","10000",1,0,0,0,0
"009L3ZX","0411","10000",1,0,0,0,0
"009L3ZZ","0404","10000",1,0,0,0,0
"009L40Z","0404","10000",1,0,0,0,0
"009L4ZX","0411","10000",1,0,0,0,0
"009L4ZZ","0404","10000",1,0,0,0,0
"009M00Z","0404","10000",1,0,0,0,0
"009M0ZX","0412","10000",1,0,0,0,0
"009M0ZZ","0404","10000",1,0,0,0,0
"009M30Z","0404","10000",1,0,0,0,0
"009M3ZX","0411","10000",1,0,0,0,0
"009M3ZZ","0404","10000",1,0,0,0,0
"009M40Z","0404","10000",1,0,0,0,0
"009M4ZX","0411","10000",1,0,0,0,0
"009M4ZZ","0404","10000",1,0,0,0,0
"009N00Z","0404","10000",1,0,0,0,0
"009N0ZX","0412","10000",1,0,0,0,0
"009N0ZZ","0404","10000",1,0,0,0,0
"009N30Z","0404","10000",1,0,0,0,0
"009N3ZX","0411","10000",1,0,0,0,0
"009N3ZZ","0404","10000",1,0,0,0,0
"009N40Z","0404","10000",1,0,0,0,0
"009N4ZX","0411","10000",1,0,0,0,0
"009N4ZZ","0404","10000",1,0,0,0,0
"009P00Z","0404","10000",1,0,0,0,0
"009P0ZX","0412","10000",1,0,0,0,0
"009P0ZZ","0404","10000",1,0,0,0,0
"009P30Z","0404","10000",1,0,0,0,0
"009P3ZX","0411","10000",1,0,0,0,0
"009P3ZZ","0404","10000",1,0,0,0,0
"009P40Z","0404","10000",1,0,0,0,0
"009P4ZX","0411","10000",1,0,0,0,0
"009P4ZZ","0404","10000",1,0,0,0,0
"009Q00Z","0404","10000",1,0,0,0,0
"009Q0ZX","0412","10000",1,0,0,0,0
"009Q0ZZ","0404","10000",1,0,0,0,0
"009Q30Z","0404","10000",1,0,0,0,0
"009Q3ZX","0411","10000",1,0,0,0,0
"009Q3ZZ","0404","10000",1,0,0,0,0
"009Q40Z","0404","10000",1,0,0,0,0
"009Q4ZX","0411","10000",1,0,0,0,0
"009Q4ZZ","0404","10000",1,0,0,0,0
"009R00Z","0404","10000",1,0,0,0,0
"009R0ZX","0412","10000",1,0,0,0,0
"009R0ZZ","0404","10000",1,0,0,0,0
"009R30Z","0404","10000",1,0,0,0,0
"009R3ZX","0411","10000",1,0,0,0,0
"009R3ZZ","0404","10000",1,0,0,0,0
"009R40Z","0404","10000",1,0,0,0,0
"009R4ZX","0411","10000",1,0,0,0,0
"009R4ZZ","0404","10000",1,0,0,0,0
"009S00Z","0404","10000",1,0,0,0,0
"009S0ZX","0412","10000",1,0,0,0,0
"009S0ZZ","0404","10000",1,0,0,0,0
"009S30Z","0404","10000",1,0,0,0,0
"009S3ZX","0411","10000",1,0,0,0,0
"009S3ZZ","0404","10000",1,0,0,0,0
"009S40Z","0404","10000",1,0,0,0,0
"009S4ZX","0411","10000",1,0,0,0,0
"009S4ZZ","0404","10000",1,0,0,0,0
"009T00Z","0309","10000",1,0,0,0,0
"009T0ZX","0332","10000",1,0,0,0,0
"009T0ZZ","0309","10000",1,0,0,0,0
"009T30Z","0309","10000",1,0,0,0,0
"009T3ZX","0332","10000",1,0,0,0,0
"009T3ZZ","0309","10000",1,0,0,0,0
"009T40Z","0309","10000",1,0,0,0,0
"009T4ZX","0332","10000",1,0,0,0,0
"009T4ZZ","0309","10000",1,0,0,0,0
"009U00Z","0309","10000",1,0,0,0,0
"009U0ZX","0332","10000",1,0,0,0,0
"009U0ZZ","0309","10000",1,0,0,0,0
"009U30Z","0331","10000",1,0,0,0,0
"009U3ZX","0332","10000",1,0,0,0,0
"009U3ZZ","0331","10000",1,0,0,0,0
"009U40Z","0331","10000",1,0,0,0,0
"009U4ZX","0332","10000",1,0,0,0,0
"009U4ZZ","0331","10000",1,0,0,0,0
"009W00Z","0309","10000",1,0,0,0,0
"009W0ZX","0332","10000",1,0,0,0,0
"009W0ZZ","0309","10000",1,0,0,0,0
"009W30Z","0309","10000",1,0,0,0,0
"009W3ZX","0332","10000",1,0,0,0,0
"009W3ZZ","0309","10000",1,0,0,0,0
"009W40Z","0309","10000",1,0,0,0,0
"009W4ZX","0332","10000",1,0,0,0,0
"009W4ZZ","0309","10000",1,0,0,0,0
"009X00Z","0309","10000",1,0,0,0,0
"009X0ZX","0332","10000",1,0,0,0,0
"009X0ZZ","0309","10000",1,0,0,0,0
"009X30Z","0309","10000",1,0,0,0,0
"009X3ZX","0332","10000",1,0,0,0,0
"009X3ZZ","0309","10000",1,0,0,0,0
"009X40Z","0309","10000",1,0,0,0,0
"009X4ZX","0332","10000",1,0,0,0,0
"009X4ZZ","0309","10000",1,0,0,0,0
"009Y00Z","0309","10000",1,0,0,0,0
"009Y0ZX","0332","10000",1,0,0,0,0
"009Y0ZZ","0309","10000",1,0,0,0,0
"009Y30Z","0309","10000",1,0,0,0,0
"009Y3ZX","0332","10000",1,0,0,0,0
"009Y3ZZ","0309","10000",1,0,0,0,0
"009Y40Z","0309","10000",1,0,0,0,0
"009Y4ZX","0332","10000",1,0,0,0,0
"009Y4ZZ","0309","10000",1,0,0,0,0
"00B00ZX","0114","10000",1,0,0,0,0
"00B00ZZ","0159","10000",1,0,0,0,0
"00B03ZX","0113","10000",1,0,0,0,0
"00B03ZZ","0159","10000",1,0,0,0,0
"00B04ZX","0113","10000",1,0,0,0,0
"00B04ZZ","0159","10000",1,0,0,0,0
"00B10ZX","0112","10000",1,0,0,0,0
"00B10ZZ","0151","10000",1,0,0,0,0
"00B13ZX","0111","10000",1,0,0,0,0
"00B13ZZ","0151","10000",1,0,0,0,0
"00B14ZX","0111","10000",1,0,0,0,0
"00B14ZZ","0151","10000",1,0,0,0,0
"00B20ZX","0112","10000",1,0,0,0,0
"00B20ZZ","0151","10000",1,0,0,0,0
"00B23ZX","0111","10000",1,0,0,0,0
"00B23ZZ","0151","10000",1,0,0,0,0
"00B24ZX","0111","10000",1,0,0,0,0
"00B24ZZ","0151","10000",1,0,0,0,0
"00B60ZX","0114","10000",1,0,0,0,0
"00B60ZZ","0159","10000",1,0,0,0,0
"00B63ZX","0113","10000",1,0,0,0,0
"00B63ZZ","0159","10000",1,0,0,0,0
"00B64ZX","0113","10000",1,0,0,0,0
"00B64ZZ","0159","10000",1,0,0,0,0
"00B70ZX","0114","10000",1,0,0,0,0
"00B70ZZ","0153","10000",1,0,0,0,0
"00B70ZZ","0159","10000",1,0,0,0,0
"00B73ZX","0113","10000",1,0,0,0,0
"00B73ZZ","0153","10000",1,0,0,0,0
"00B73ZZ","0159","10000",1,0,0,0,0
"00B74ZX","0113","10000",1,0,0,0,0
"00B74ZZ","0153","10000",1,0,0,0,0
"00B74ZZ","0159","10000",1,0,0,0,0
"00B80ZX","0114","10000",1,0,0,0,0
"00B80ZZ","0142","10000",1,0,0,0,0
"00B83ZX","0113","10000",1,0,0,0,0
"00B83ZZ","0142","10000",1,0,0,0,0
"00B84ZX","0113","10000",1,0,0,0,0
"00B84ZZ","0142","10000",1,0,0,0,0
"00B90ZX","0114","10000",1,0,0,0,0
"00B90ZZ","0141","10000",1,0,0,0,0
"00B93ZX","0113","10000",1,0,0,0,0
"00B93ZZ","0141","10000",1,0,0,0,0
"00B94ZX","0113","10000",1,0,0,0,0
"00B94ZZ","0141","10000",1,0,0,0,0
"00BA0ZX","0114","10000",1,0,0,0,0
"00BA0ZZ","0141","10000",1,0,0,0,0
"00BA3ZX","0113","10000",1,0,0,0,0
"00BA3ZZ","0141","10000",1,0,0,0,0
"00BA4ZX","0113","10000",1,0,0,0,0
"00BA4ZZ","0141","10000",1,0,0,0,0
"00BB0ZX","0114","10000",1,0,0,0,0
"00BB0ZZ","0159","10000",1,0,0,0,0
"00BB3ZX","0113","10000",1,0,0,0,0
"00BB3ZZ","0159","10000",1,0,0,0,0
"00BB4ZX","0113","10000",1,0,0,0,0
"00BB4ZZ","0159","10000",1,0,0,0,0
"00BC0ZX","0114","10000",1,0,0,0,0
"00BC0ZZ","0159","10000",1,0,0,0,0
"00BC3ZX","0113","10000",1,0,0,0,0
"00BC3ZZ","0159","10000",1,0,0,0,0
"00BC4ZX","0113","10000",1,0,0,0,0
"00BC4ZZ","0159","10000",1,0,0,0,0
"00BD0ZX","0114","10000",1,0,0,0,0
"00BD0ZZ","0159","10000",1,0,0,0,0
"00BD3ZX","0113","10000",1,0,0,0,0
"00BD3ZZ","0159","10000",1,0,0,0,0
"00BD4ZX","0113","10000",1,0,0,0,0
"00BD4ZZ","0159","10000",1,0,0,0,0
"00BF0ZX","0412","10000",1,0,0,0,0
"00BF0ZZ","0406","10000",1,0,0,0,0
"00BF0ZZ","0407","10000",1,0,0,0,0
"00BF3ZX","0411","10000",1,0,0,0,0
"00BF3ZZ","0406","10000",1,0,0,0,0
"00BF3ZZ","0407","10000",1,0,0,0,0
"00BF4ZX","0411","10000",1,0,0,0,0
"00BF4ZZ","0406","10000",1,0,0,0,0
